Execution time,Date/Time,ActivePower,WindSpeed,WindDir
16:34:40,01 01 2018 00:00,380.047790527343,5.31133604049682,259.994903564453
16:34:40,01 01 2018 00:10,453.76919555664,5.67216682434082,268.64111328125
16:34:40,01 01 2018 00:20,306.376586914062,5.21603679656982,272.564788818359
16:34:41,01 01 2018 00:30,419.645904541015,5.65967416763305,271.258087158203
16:34:41,01 01 2018 00:40,380.650695800781,5.57794094085693,265.674285888671
16:34:41,01 01 2018 00:50,402.391998291015,5.60405206680297,264.57861328125
16:34:41,01 01 2018 01:00,447.605712890625,5.79300785064697,266.163604736328
16:34:41,01 01 2018 01:10,387.2421875,5.30604982376098,257.949493408203
16:34:42,01 01 2018 01:20,463.651214599609,5.58462905883789,253.480697631835
16:34:42,01 01 2018 01:30,439.725708007812,5.52322816848754,258.72378540039
16:34:42,01 01 2018 01:40,498.181701660156,5.72411584854125,251.850997924804
16:34:42,01 01 2018 01:50,526.816223144531,5.93419885635375,265.504699707031
16:34:42,01 01 2018 02:00,710.587280273437,6.54741382598876,274.23291015625
16:34:43,01 01 2018 02:10,655.194274902343,6.19974613189697,266.733184814453
16:34:43,01 01 2018 02:20,754.762512207031,6.50538301467895,266.76040649414
16:34:43,01 01 2018 02:30,790.173278808593,6.63411617279052,270.493194580078
16:34:43,01 01 2018 02:40,742.985290527343,6.37891292572021,266.593292236328
16:34:44,01 01 2018 02:50,748.229614257812,6.4466528892517,265.571807861328
16:34:44,01 01 2018 03:00,736.647827148437,6.41508293151855,261.15869140625
16:34:44,01 01 2018 03:10,787.246215820312,6.43753099441528,257.56021118164
16:34:44,01 01 2018 03:20,722.864074707031,6.22002410888671,255.926498413085
16:34:44,01 01 2018 03:30,935.033386230468,6.89802598953247,250.012893676757
16:34:45,01 01 2018 03:40,1220.60900878906,7.60971117019653,255.985702514648
16:34:45,01 01 2018 03:50,1053.77197265625,7.28835582733154,255.444595336914
16:34:45,01 01 2018 04:00,1493.80798339843,7.94310188293457,256.407409667968
16:34:45,01 01 2018 04:10,1724.48803710937,8.37616157531738,252.41259765625
16:34:45,01 01 2018 04:20,1636.93505859375,8.23695755004882,247.979400634765
16:34:46,01 01 2018 04:30,1385.48803710937,7.87959098815917,238.609603881835
16:34:46,01 01 2018 04:40,1098.93200683593,7.10137605667114,245.095596313476
16:34:46,01 01 2018 04:50,1021.4580078125,6.95530700683593,245.410202026367
16:34:46,01 01 2018 05:00,1164.89294433593,7.09829807281494,235.227905273437
16:34:47,01 01 2018 05:10,1073.33203125,6.95363092422485,242.872695922851
16:34:47,01 01 2018 05:20,1165.30798339843,7.24957799911499,244.835693359375
16:34:47,01 01 2018 05:30,1177.98999023437,7.29469108581542,242.48159790039
16:34:47,01 01 2018 05:40,1170.53601074218,7.37636995315551,247.97720336914
16:34:47,01 01 2018 05:50,1145.53601074218,7.44855403900146,249.682998657226
16:34:48,01 01 2018 06:00,1114.02697753906,7.2392520904541,248.401000976562
16:34:48,01 01 2018 06:10,1153.18505859375,7.32921123504638,244.621704101562
16:34:48,01 01 2018 06:20,1125.3310546875,7.13970518112182,244.631805419921
16:34:48,01 01 2018 06:30,1228.73205566406,7.47422885894775,245.785995483398
16:34:48,01 01 2018 06:40,1021.79302978515,7.03317403793334,248.652206420898
16:34:49,01 01 2018 06:50,957.378173828125,6.88645505905151,244.611694335937
16:34:49,01 01 2018 07:00,909.887817382812,6.88782119750976,235.84829711914
16:34:49,01 01 2018 07:10,1000.95397949218,7.21643209457397,232.842697143554
16:34:49,01 01 2018 07:20,1024.47802734375,7.0685977935791,229.933197021484
16:34:50,01 01 2018 07:30,1009.53399658203,6.93829584121704,230.13670349121
16:34:50,01 01 2018 07:40,899.492980957031,6.53668785095214,234.933807373046
16:34:50,01 01 2018 07:50,725.110107421875,6.18062496185302,232.837905883789
16:34:50,01 01 2018 08:00,585.259399414062,5.81682586669921,240.328796386718
16:34:50,01 01 2018 08:10,443.913909912109,5.45015096664428,238.12629699707
16:34:51,01 01 2018 08:20,565.253784179687,5.81814908981323,235.80029296875
16:34:51,01 01 2018 08:30,644.037780761718,6.13027286529541,224.958694458007
16:34:51,01 01 2018 08:40,712.058898925781,6.34707784652709,216.803894042968
16:34:51,01 01 2018 08:50,737.394775390625,6.34743690490722,205.785293579101
16:34:51,01 01 2018 09:00,725.868103027343,6.19436883926391,199.848495483398
16:34:52,01 01 2018 09:10,408.997406005859,4.97719812393188,207.997802734375
16:34:52,01 01 2018 09:20,628.436828613281,5.95911121368408,210.954895019531
16:34:52,01 01 2018 09:30,716.1005859375,6.21137619018554,215.69400024414
16:34:52,01 01 2018 09:40,711.49560546875,6.11145305633544,220.84260559082
16:34:52,01 01 2018 09:50,838.151916503906,6.45632219314575,237.065307617187
16:34:53,01 01 2018 10:00,881.062072753906,6.66665792465209,235.667495727539
16:34:53,01 01 2018 10:10,663.703125,6.16287899017333,229.329696655273
16:34:53,01 01 2018 10:20,578.261596679687,6.01316785812377,234.900604248046
16:34:53,01 01 2018 10:30,465.620086669921,5.56120300292968,230.422805786132
16:34:53,01 01 2018 10:40,311.050903320312,4.96073198318481,229.537506103515
16:34:54,01 01 2018 10:50,230.05549621582,4.60387516021728,231.79849243164
16:34:54,01 01 2018 11:00,233.990600585937,4.55453395843505,234.105606079101
16:34:54,01 01 2018 11:10,175.592193603515,4.26362895965576,228.776702880859
16:34:54,01 01 2018 11:20,118.133102416992,3.89413905143737,227.938995361328
16:34:55,01 01 2018 11:30,142.202499389648,4.03876113891601,224.46499633789
